id,parent_id,sequence,create_uid,write_uid,relation_field,res_model,name,description,internal,default,hidden,track_recipients,create_date,write_date
13,,106,1,1,,project.task,"{""en_US"": ""Task Waiting""}","{""en_US"": ""Task Waiting""}",,f,t,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
15,,1,1,1,,project.update,"{""en_US"": ""Update Created""}","{""en_US"": ""Update Created""}",,f,t,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
16,,9,1,1,,project.project,"{""en_US"": ""Project Stage Changed""}",,,f,t,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
17,6,10,1,1,project_id,project.project,"{""en_US"": ""Task Created""}",,,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
18,7,16,1,1,project_id,project.project,"{""en_US"": ""Task Stage Changed""}",,,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
20,15,19,1,1,project_id,project.project,"{""en_US"": ""Update Created""}",,,f,t,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
21,8,20,1,1,project_id,project.project,"{""en_US"": ""Task In Progress""}",,,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
22,9,21,1,1,project_id,project.project,"{""en_US"": ""Changes Requested""}",,,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
23,10,22,1,1,project_id,project.project,"{""en_US"": ""Task Approved""}",,,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
24,11,23,1,1,project_id,project.project,"{""en_US"": ""Task Canceled""}",,,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
25,12,24,1,1,project_id,project.project,"{""en_US"": ""Task Done""}",,,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
26,13,25,1,1,project_id,project.project,"{""en_US"": ""Task Waiting""}",,,f,t,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
27,,1,1,1,,account.move,"{""en_US"": ""Validated""}","{""en_US"": ""Invoice validated""}",,f,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
28,,1,1,1,,account.move,"{""en_US"": ""Paid""}","{""en_US"": ""Invoice paid""}",,f,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
29,,1,1,1,,account.move,"{""en_US"": ""Invoice Created""}","{""en_US"": ""Invoice Created""}",,f,t,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
30,,1,1,1,,sale.order,"{""en_US"": ""Quotation sent""}","{""en_US"": ""Quotation sent""}",,f,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
31,,1,1,1,,sale.order,"{""en_US"": ""Sales Order Confirmed""}","{""en_US"": ""Quotation confirmed""}",,f,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
32,30,20,1,1,team_id,crm.team,"{""en_US"": ""Quotation sent""}",,,t,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
33,31,21,1,1,team_id,crm.team,"{""en_US"": ""Sales Order Confirmed""}",,,t,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
34,29,22,1,1,team_id,crm.team,"{""en_US"": ""Invoice Created""}",,,t,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
35,27,23,1,1,team_id,crm.team,"{""en_US"": ""Invoice Confirmed""}",,,t,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
36,,1,1,1,,event.event,"{""en_US"": ""Event published""}","{""en_US"": ""Event published""}",,f,,,2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443
37,,1,1,1,,event.event,"{""en_US"": ""Event unpublished""}","{""en_US"": ""Event unpublished""}",,f,,,2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443
38,,1,1,1,,slide.channel,"{""en_US"": ""Presentation Published""}","{""en_US"": ""Presentation Published""}",,t,,,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362
19,14,27,1,2,project_id,project.project,"{""en_US"": ""Task Rating""}",,,f,t,,2024-04-18 07:41:22.122125,2024-04-23 06:19:28.092459
14,,108,1,2,,project.task,"{""en_US"": ""Task Rating""}",,,f,t,,2024-04-18 07:41:22.122125,2024-04-23 06:19:28.092459
