id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date,paperformat_id,model,report_type,report_name,report_file,attachment,print_report_name,multi,attachment_use
376,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Product Label 2x7 (PDF)""}",,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613,6,product.template,qweb-pdf,product.report_producttemplatelabel2x7,product.report_producttemplatelabel2x7,,"{""en_US"": ""'Products Labels - %s' % (object.name)""}",,
377,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Product Label 4x7 (PDF)""}",,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613,6,product.template,qweb-pdf,product.report_producttemplatelabel4x7,product.report_producttemplatelabel4x7,,"{""en_US"": ""'Products Labels - %s' % (object.name)""}",,
378,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Product Label 4x12 (PDF)""}",,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613,6,product.template,qweb-pdf,product.report_producttemplatelabel4x12,product.report_producttemplatelabel4x12,,"{""en_US"": ""'Products Labels - %s' % (object.name)""}",,
379,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Product Label 4x12 No Price (PDF)""}",,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613,6,product.template,qweb-pdf,product.report_producttemplatelabel4x12noprice,product.report_producttemplatelabel4x12noprice,,"{""en_US"": ""'Products Labels - %s' % (object.name)""}",,
380,522,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Product Packaging (PDF)""}",,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613,,product.packaging,qweb-pdf,product.report_packagingbarcode,product.report_packagingbarcode,,"{""en_US"": ""'Products packaging - %s' % (object.name)""}",,
381,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Pricelist""}",,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613,,product.product,qweb-pdf,product.report_pricelist,product.report_pricelist,,,,
382,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Product Label (PDF)""}",,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613,7,product.template,qweb-pdf,product.report_producttemplatelabel_dymo,product.report_producttemplatelabel_dymo,,"{""en_US"": ""'Products Labels - %s' % (object.name)""}",,
400,545,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Full Page Ticket""}",,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159,9,event.registration,qweb-pdf,event.event_registration_report_template_full_page_ticket,event.event_registration_report_template_full_page_ticket,,"{""en_US"": ""'Full Page Ticket - %s - %s' % ((object.event_id.name or 'Event').replace('/',''), (object.name or '').replace('/',''))""}",,
401,541,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Full Page Ticket Example""}",,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159,9,event.event,qweb-pdf,event.event_event_report_template_full_page_ticket,event.event_event_report_template_full_page_ticket,,"{""en_US"": ""'Full Page Ticket - %s' % (object.name or 'Event').replace('/','')""}",,
402,545,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Badge""}",,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159,8,event.registration,qweb-pdf,event.event_registration_report_template_badge,event.event_registration_report_template_badge,,"{""en_US"": ""'Badge - %s - %s' % ((object.event_id.name or 'Event').replace('/',''), (object.name or '').replace('/',''))""}",,
403,541,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Badge Example""}",,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159,8,event.event,qweb-pdf,event.event_event_report_template_badge,event.event_event_report_template_badge,,"{""en_US"": ""'Badge - %s' % (object.name or 'Event').replace('/','')""}",,
404,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Responsive Html Full Page Ticket""}",,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159,,event.registration,qweb-pdf,event.event_registration_report_template_responsive_html_ticket,event.event_registration_report_template_responsive_html_ticket,,,,
405,541,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Attendee List""}",,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159,,event.event,qweb-pdf,event.event_event_attendee_list,event.event_event_attendee_list,,"{""en_US"": ""'Attendee List - %s' % (object.name)""}",,
406,545,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Attendee List""}",,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159,,event.registration,qweb-pdf,event.event_registration_attendee_list,event.event_registration_attendee_list,,"{""en_US"": ""'Attendee List'""}",,
418,577,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Invoices""}",,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,,account.move,qweb-pdf,account.report_invoice_with_payments,account.report_invoice_with_payments,"","{""en_US"": ""(object._get_report_base_filename())""}",,
419,577,1,1,ir.actions.report,report,list,"{""en_US"": ""Original Bills""}",,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,,account.move,qweb-pdf,account.report_original_vendor_bill,account.report_original_vendor_bill,'original_vendor_bill.pdf',,,t
420,577,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Invoices without Payment""}",,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,,account.move,qweb-pdf,account.report_invoice,account.report_invoice,"","{""en_US"": ""(object._get_report_base_filename())""}",,
421,581,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Payment Receipt""}",,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,,account.payment,qweb-pdf,account.report_payment_receipt,account.report_payment_receipt,,,,
422,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Statement""}",,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10,account.bank.statement,qweb-pdf,account.report_statement,account.report_statement,,,,
423,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Hash integrity result PDF""}",,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,,res.company,qweb-pdf,account.report_hash_integrity,account.report_hash_integrity,,,,
504,633,1,1,ir.actions.report,report,"list,form","{""en_US"": ""PRO-FORMA Invoice""}",,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,sale.order,qweb-pdf,sale.report_saleorder_pro_forma,sale.report_saleorder_pro_forma,,"{""en_US"": ""'PRO-FORMA - %s' % (object.name)""}",,
563,633,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Quotation / Order""}",,2024-04-18 07:47:33.998798,2024-04-18 07:47:33.998798,,sale.order,qweb-pdf,sale.report_saleorder_raw,sale.report_saleorder_raw,,"{""en_US"": ""(object.state in ('draft', 'sent') and 'Quotation - %s' % (object.name)) or 'Order - %s' % (object.name)""}",,
503,633,1,1,ir.actions.report,report,"list,form","{""en_US"": ""PDF Quote""}",,2024-04-18 07:47:12.503609,2024-04-18 07:47:33.998798,,sale.order,qweb-pdf,sale.report_saleorder,sale.report_saleorder,,"{""en_US"": ""(object.state in ('draft', 'sent') and 'Quotation - %s' % (object.name)) or 'Order - %s' % (object.name)""}",,
596,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Fees Detail Analysi""}",,2024-04-18 07:57:33.94017,2024-04-18 07:57:33.94017,,op.student,qweb-pdf,tarcin_fees.report_fees_analysis,tarcin_fees.report_fees_analysis,,,,
602,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Admission Analysis""}",,2024-04-18 07:57:36.231095,2024-04-18 07:57:36.231095,,admission.analysis,qweb-pdf,tarcin_admission.report_admission_analysis,tarcin_admission.report_admission_analysis,,,,
608,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""TimeTable for Students""}",,2024-04-18 07:58:28.826074,2024-04-18 07:58:28.826074,,op.session,qweb-pdf,openeducat_timetable.report_timetable_student_generate,openeducat_timetable.report_timetable_student_generate,,,,
609,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""TimeTable for Faculties""}",,2024-04-18 07:58:28.826074,2024-04-18 07:58:28.826074,,op.session,qweb-pdf,openeducat_timetable.report_timetable_teacher_generate,openeducat_timetable.report_timetable_teacher_generate,,,,
618,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Generate Attendance""}",,2024-04-18 07:58:30.524114,2024-04-18 07:58:30.524114,,op.student,qweb-pdf,tarcin_attendance.student_attendance_report,tarcin_attendance.student_attendance_report,,,,
631,718,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Marksheet""}",,2024-04-18 07:58:48.811597,2024-04-18 07:58:48.811597,,op.marksheet.line,qweb-pdf,tarcin_exam.report_marksheet_report,tarcin_exam.report_marksheet_report,,,,
632,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Student Hall Ticket""}",,2024-04-18 07:58:48.811597,2024-04-18 07:58:48.811597,,op.exam.session,qweb-pdf,tarcin_exam.report_ticket,tarcin_exam.report_ticket,,,,
638,733,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Media Barcode""}",,2024-04-18 10:42:39.074562,2024-04-18 10:42:39.074562,,op.media,qweb-pdf,tarcin_library.report_media_barcode,tarcin_library.report_media_barcode,,,,
639,732,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Library Card Barcode""}",,2024-04-18 10:42:39.074562,2024-04-18 10:42:39.074562,,op.library.card,qweb-pdf,tarcin_library.report_library_card_barcode,tarcin_library.report_library_card_barcode,,,,
640,433,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Library ID Card""}",,2024-04-18 10:42:39.074562,2024-04-18 10:42:39.074562,,op.student,qweb-pdf,tarcin_library.report_student_library_card,tarcin_library.report_student_library_card,,"{""en_US"": ""'Library ID Card - %s' % (object.name)""}",,
