id,sequence,primary_payment_method_id,create_uid,write_uid,name,code,support_refund,active,support_tokenization,support_express_checkout,create_date,write_date
16,1000,,1,1,BANCOMAT Pay,bancomat_pay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
17,1000,,1,1,Bancontact,bancontact,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
18,1000,,1,1,Bangkok Bank,bangkok_bank,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
19,1000,,1,1,Bank Account,bank_account,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
20,1000,,1,1,BCA,bank_bca,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
21,1000,,1,1,Bank of Ayudhya,bank_of_ayudhya,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
22,1000,,1,1,Bank Permata,bank_permata,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
23,1000,,1,1,Bank reference,bank_reference,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
24,1000,,1,1,Bank Transfer,bank_transfer,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
25,1000,,1,1,BECS Direct Debit,becs_direct_debit,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
26,1000,,1,1,Belfius,belfius,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
27,1000,,1,1,Benefit,benefit,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
28,1000,,1,1,BharatQR,bharatqr,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
29,1000,,1,1,BillEase,billease,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
30,1000,,1,1,Billink,billink,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
31,1000,,1,1,Bizum,bizum,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
32,1000,,1,1,BLIK,blik,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
33,1000,,1,1,Bank Negara Indonesia,bni,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
34,1000,,1,1,Boleto,boleto,,f,t,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
35,1000,,1,1,Boost,boost,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
36,1000,,1,1,Bank of the Philippine Islands,bpi,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
37,1000,,1,1,BRANKAS,brankas,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
38,1000,,1,1,BRI,bri,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
39,1000,,1,1,Bank Syariah Indonesia,bsi,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
40,10,,1,1,Card,card,,f,t,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
41,1000,,1,1,Cash App Pay,cash_app_pay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
42,1000,,1,1,Cashalo,cashalo,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
43,1000,,1,1,Cebuana,cebuana,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
44,1000,,1,1,Clearpay,clearpay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
45,1000,,1,1,CIMB Niaga,cimb_niaga,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
46,1000,,1,1,cofidis,cofidis,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
47,1000,,1,1,Dana,dana,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
48,1000,,1,1,Dolfin,dolfin,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
49,1000,,1,1,DuitNow,duitnow,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
50,1000,,1,1,EMI,emi,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
51,1000,,1,1,eNETS,enets,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
52,1000,,1,1,EPS,eps,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
53,1000,,1,1,Floa Bank,floa_bank,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
54,1000,,1,1,FPS,fps,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
55,1000,,1,1,FPX,fpx,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
56,1000,,1,1,Frafinance,frafinance,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
57,1000,,1,1,GCash,gcash,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
58,1000,,1,1,Giropay,giropay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
59,1000,,1,1,GoPay,gopay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
60,1000,,1,1,GrabPay,grabpay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
61,1000,,1,1,Government Savings Bank,gsb,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
62,1000,,1,1,HD Bank,hd,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
63,1000,,1,1,Hoolah,hoolah,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
64,1000,,1,1,Humm,humm,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
65,1000,,1,1,iDEAL,ideal,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
66,1000,,1,1,in3,in3,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
67,1000,,1,1,JeniusPay,jeniuspay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
68,1000,,1,1,Jkopay,jkopay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
69,1000,,1,1,KakaoPay,kakaopay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
70,1000,,1,1,Kasikorn Bank,kasikorn_bank,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
71,1000,,1,1,KBC/CBC,kbc_cbc,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
72,1000,,1,1,Klarna,klarna,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
73,1000,,1,1,Klarna - Pay Now,klarna_paynow,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
74,1000,,1,1,Klarna - Pay over time,klarna_pay_over_time,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
75,1000,,1,1,KNET,knet,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
76,1000,,1,1,Kredivo,kredivo,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
77,1000,,1,1,KrungThai Bank,krungthai_bank,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
78,1000,,1,1,LINE Pay,linepay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
79,1000,,1,1,LinkAja,linkaja,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
80,1000,,1,1,Lydia,lydia,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
81,1000,,1,1,LyfPay,lyfpay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
82,1000,,1,1,Mada,mada,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
83,1000,,1,1,Mandiri,mandiri,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
84,1000,,1,1,Maya,maya,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
85,1000,,1,1,Maybank,maybank,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
86,1000,,1,1,MB WAY,mbway,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
87,1000,,1,1,Mobile money,mobile_money,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
88,1000,,1,1,MobilePay,mobile_pay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
89,1000,,1,1,MoMo,momo,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
90,1000,,1,1,M-Pesa,mpesa,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
91,1000,,1,1,Multibanco,multibanco,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
92,1000,,1,1,MyBank,mybank,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
93,1000,,1,1,Napas Card,napas_card,full_only,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
94,1000,,1,1,Naver Pay,naver_pay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
95,1000,,1,1,Netbanking,netbanking,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
96,1000,,1,1,Octopus,octopus,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
97,1000,,1,1,Online Banking Czech Republic,online_banking_czech_republic,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
98,1000,,1,1,Online Banking India,online_banking_india,full_only,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
99,1000,,1,1,Online Banking Slovakia,online_banking_slovakia,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
100,1000,,1,1,Online Banking Thailand,online_banking_thailand,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
101,1000,,1,1,Open banking,open_banking,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
102,1000,,1,1,OVO,ovo,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
103,1000,,1,1,PayBright,paybright,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
104,1000,,1,1,Pace.,pace,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
105,1000,,1,1,Pay-easy,pay_easy,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
106,1000,,1,1,PayID,pay_id,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
107,1000,,1,1,Paylib,paylib,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
108,1000,,1,1,PayMe,payme,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
109,1000,,1,1,PayNow,paynow,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
110,20,,1,1,Paypal,paypal,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
111,1000,,1,1,PayPay,paypay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
112,1000,,1,1,PaySafeCard,paysafecard,full_only,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
113,1000,,1,1,Paytm,paytm,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
114,1000,,1,1,Paytrail,paytrail,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
115,1000,,1,1,PayU,payu,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
116,1000,,1,1,Pix,pix,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
117,1000,,1,1,POLi,poli,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
118,1000,,1,1,PostePay,poste_pay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
119,1000,,1,1,PPS,pps,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
120,1000,,1,1,Prompt Pay,promptpay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
121,1000,,1,1,PSE,pse,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
122,1000,,1,1,P24,p24,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
123,1000,,1,1,QRIS,qris,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
124,1000,,1,1,Rabbit LINE Pay,rabbit_line_pay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
125,1000,,1,1,Ratepay,ratepay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
126,1000,,1,1,Revolut Pay,revolut_pay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
127,1000,,1,1,Samsung Pay,samsung_pay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
128,1000,,1,1,Siam Commerical Bank,scb,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
129,1000,,1,1,SEPA Direct Debit,sepa_direct_debit,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
130,1000,,1,1,ShopBack,shopback,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
131,1000,,1,1,ShopeePay,shopeepay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
132,1000,,1,1,Sofort,sofort,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
133,1000,,1,1,Swish,swish,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
134,1000,,1,1,Techcombank,techcom,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
135,1000,,1,1,TendoPay,tendopay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
136,1000,,1,1,TENPAY,tenpay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
137,1000,,1,1,Tienphong,tienphong,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
138,1000,,1,1,Tinka,tinka,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
139,1000,,1,1,Tamilnad Mercantile Bank Limited,tmb,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
140,1000,,1,1,Toss Pay,toss_pay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
141,1000,,1,1,Touch'n Go,touch_n_go,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
142,1000,,1,1,TrueMoney,truemoney,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
143,1000,,1,1,Trustly,trustly,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
144,1000,,1,1,TTB,ttb,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
145,1000,,1,1,Twint,twint,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
146,1000,,1,1,Universal Air Travel Plan,uatp,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
147,1000,,1,1,Payment method,unknown,partial,f,t,t,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
148,1000,,1,1,United Overseas Bank,uob,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
149,1000,,1,1,UPI,upi,partial,f,t,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
150,1000,,1,1,USSD,ussd,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
151,1000,,1,1,Venmo,venmo,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
152,1000,,1,1,Vietcombank,vietcom,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
153,1000,,1,1,Vipps,vipps,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
154,1000,,1,1,V PAY,vpay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
155,1000,,1,1,Wallets India,wallets_india,full_only,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
156,1000,,1,1,Walley,walley,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
157,1000,,1,1,WeChat Pay,wechat_pay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
158,1000,,1,1,WeLend,welend,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
159,1000,,1,1,Zalopay,zalopay,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
160,1000,,1,1,Zip,zip,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
161,1000,40,1,1,American Express,amex,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
162,1000,40,1,1,Argencard,argencard,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
163,1000,23,1,1,Banco de Bogota,banco_de_bogota,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
164,1000,23,1,1,Bancolombia,bancolombia,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
165,1000,40,1,1,Cabal,cabal,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
166,1000,40,1,1,Caixa,caixa,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
167,1000,40,1,1,Carnet,carnet,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
168,1000,40,1,1,Cartes Bancaires,cartes_bancaires,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
169,1000,40,1,1,Cencosud,cencosud,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
170,1000,40,1,1,Cirrus,cirrus,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
171,1000,40,1,1,CMR,cmr,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
172,1000,40,1,1,Codensa,codensa,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
173,1000,40,1,1,Cordial,cordial,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
174,1000,40,1,1,Cordobesa,cordobesa,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
175,1000,40,1,1,Credit Payment,credit,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
176,1000,40,1,1,Dankort,dankort,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
177,1000,23,1,1,Davivienda,davivienda,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
178,1000,40,1,1,Diners Club International,diners,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
179,1000,40,1,1,Discover,discover,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
180,1000,40,1,1,Elo,elo,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
181,1000,40,1,1,Hipercard,hipercard,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
182,1000,40,1,1,JCB,jcb,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
183,1000,40,1,1,Lider,lider,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
184,1000,40,1,1,Mercado Livre,mercado_livre,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
185,1000,40,1,1,Meeza,meeza,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
186,1000,40,1,1,Maestro,maestro,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
187,1000,40,1,1,Magna,magna,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
188,1000,40,1,1,MasterCard,mastercard,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
189,1000,40,1,1,NAPS,naps,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
190,1000,40,1,1,Naranja,naranja,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
191,1000,40,1,1,Nativa,nativa,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
192,1000,40,1,1,Oca,oca,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
193,1000,40,1,1,OmanNet,omannet,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
194,1000,40,1,1,Presto,presto,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
195,1000,40,1,1,RuPay,rupay,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
196,1000,40,1,1,Shopping Card,shopping,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
197,1000,40,1,1,Tarjeta MercadoPago,tarjeta_mercadopago,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
198,1000,40,1,1,UnionPay,unionpay,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
199,1000,40,1,1,VISA,visa,,f,,,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
