id,create_uid,write_uid,model,order,state,name,info,transient,create_date,write_date,is_mail_thread,is_mail_activity,is_mail_blacklist,website_form_default_field_id,website_form_label,website_form_key,website_form_access
518,,,product.attribute.value,"attribute_id, sequence, id",base,"{""en_US"": ""Attribute Value""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
519,,,product.catalog.mixin,id,base,"{""en_US"": ""Product Catalog Mixin""}"," This mixin should be inherited when the model should be able to work
    with the product catalog.
    It assumes the model using this mixin has a O2M field where the products are added/removed and
    this field's co-related model should has a method named `_get_product_catalog_lines_data`.
    ",f,,,f,f,f,,,,
520,,,product.category,complete_name,base,"{""en_US"": ""Product Category""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
521,,,product.document,name,base,"{""en_US"": ""Product Document""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
522,,,product.packaging,"product_id, sequence, id",base,"{""en_US"": ""Product Packaging""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
523,,,product.pricelist,"sequence asc, id asc",base,"{""en_US"": ""Pricelist""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,t,f,,,,
524,,,product.pricelist.item,"applied_on, min_quantity desc, categ_id desc, id desc",base,"{""en_US"": ""Pricelist Rule""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
525,,,product.supplierinfo,"sequence, min_qty DESC, price, id",base,"{""en_US"": ""Supplier Pricelist""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
526,,,product.tag,id,base,"{""en_US"": ""Product Tag""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
527,,,product.template.attribute.line,"sequence, attribute_id, id",base,"{""en_US"": ""Product Template Attribute Line""}","Attributes available on product.template with their selected values in a m2m.
    Used as a configuration model to generate the appropriate product.template.attribute.value",f,,,f,f,f,,,,
528,,,product.template.attribute.exclusion,"product_tmpl_id, id",base,"{""en_US"": ""Product Template Attribute Exclusion""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
529,,,product.template.attribute.value,"attribute_line_id, product_attribute_value_id, id",base,"{""en_US"": ""Product Template Attribute Value""}","Materialized relationship between attribute values
    and product template generated by the product.template.attribute.line",f,,,f,f,f,,,,
530,,,report.product.report_producttemplatelabel2x7,id,base,"{""en_US"": ""Product Label Report 2x7""}"," The base model, which is implicitly inherited by all models. ",f,,,f,f,f,,,,
531,,,report.product.report_producttemplatelabel4x7,id,base,"{""en_US"": ""Product Label Report 4x7""}"," The base model, which is implicitly inherited by all models. ",f,,,f,f,f,,,,
532,,,report.product.report_producttemplatelabel4x12,id,base,"{""en_US"": ""Product Label Report 4x12""}"," The base model, which is implicitly inherited by all models. ",f,,,f,f,f,,,,
533,,,report.product.report_producttemplatelabel4x12noprice,id,base,"{""en_US"": ""Product Label Report 4x12 No Price""}"," The base model, which is implicitly inherited by all models. ",f,,,f,f,f,,,,
534,,,report.product.report_producttemplatelabel_dymo,id,base,"{""en_US"": ""Product Label Report""}"," The base model, which is implicitly inherited by all models. ",f,,,f,f,f,,,,
535,,,report.product.report_pricelist,id,base,"{""en_US"": ""Pricelist Report""}"," The base model, which is implicitly inherited by all models. ",f,,,f,f,f,,,,
536,,,product.label.layout,id,base,"{""en_US"": ""Choose the sheet layout to print the labels""}"," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    ",t,,,f,f,f,,,,
648,,,delivery.zip.prefix,"name, id",base,"{""en_US"": ""Delivery Zip Prefix""}", Zip prefix that a delivery.carrier will deliver to. ,f,,,f,f,f,,,,
649,,,choose.delivery.carrier,id,base,"{""en_US"": ""Delivery Carrier Selection Wizard""}"," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    ",t,,,f,f,f,,,,
650,,,sale.order.option,"sequence, id",base,"{""en_US"": ""Sale Options""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
651,,,sale.order.template,id,base,"{""en_US"": ""Quotation Template""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
652,,,sale.order.template.line,"sale_order_template_id, sequence, id",base,"{""en_US"": ""Quotation Template Line""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
653,,,sale.order.template.option,id,base,"{""en_US"": ""Quotation Template Option""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
654,,,slide.slide.partner,id,base,"{""en_US"": ""Slide / Partner decorated m2m""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
655,,,slide.tag,id,base,"{""en_US"": ""Slide Tag""}", Tag to search slides across channels. ,f,,,f,f,f,,,,
656,,,slide.slide,"sequence asc, is_category asc, id asc",base,"{""en_US"": ""Slides""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,f,f,,,,
657,,,slide.question,sequence,base,"{""en_US"": ""Content Quiz Question""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
658,,,slide.answer,"question_id, sequence, id",base,"{""en_US"": ""Slide Question's Answer""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
37,,,ir.config_parameter,key,base,"{""en_US"": ""System Parameter""}",Per-database storage of configuration key-value pairs.,f,,,f,f,f,,,,
39,,,ir.mail_server,"sequence, id",base,"{""en_US"": ""Mail Server""}","Represents an SMTP server, able to send outgoing emails, with SSL and TLS capabilities.",f,,,f,f,f,,,,
659,,,slide.embed,id,base,"{""en_US"": ""Embedded Slides View Counter""}"," Embedding in third party websites. Track view count, generate statistics. ",f,,,f,f,f,,,,
24,,,ir.actions.server,"sequence,name",base,"{""en_US"": ""Server Action""}", Add website option in server actions. ,f,,,f,f,f,,,,
537,,,crm.team.member,"create_date ASC, id",base,"{""en_US"": ""Sales Team Member""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,f,f,,,,
538,,,crm.team,"sequence ASC, create_date DESC, id DESC",base,"{""en_US"": ""Sales Team""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,f,f,,,,
539,,,crm.tag,id,base,"{""en_US"": ""CRM Tag""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
540,,,event.type,"sequence, id",base,"{""en_US"": ""Event Template""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
541,,,event.event,"date_begin, id",base,"{""en_US"": ""Event""}",Event,f,,,t,t,f,,,,
542,,,event.type.mail,id,base,"{""en_US"": ""Mail Scheduling on Event Category""}"," Template of event.mail to attach to event.type. Those will be copied
    upon all events created in that type to ease event creation. ",f,,,f,f,f,,,,
543,,,event.mail,id,base,"{""en_US"": ""Event Automated Mailing""}"," Event automated mailing. This model replaces all existing fields and
    configuration allowing to send emails on events since Odoo 9. A cron exists
    that periodically checks for mailing to run. ",f,,,f,f,f,,,,
544,,,event.mail.registration,scheduled_date DESC,base,"{""en_US"": ""Registration Mail Scheduler""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
545,,,event.registration,id desc,base,"{""en_US"": ""Event Registration""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,t,f,,,,
546,,,event.stage,"sequence, name",base,"{""en_US"": ""Event Stage""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
547,,,event.tag.category,sequence,base,"{""en_US"": ""Event Tag Category""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
548,,,event.tag,"category_sequence, sequence, id",base,"{""en_US"": ""Event Tag""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
551,,,payment.method,"active desc, sequence, name",base,"{""en_US"": ""Payment Method""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
552,,,payment.provider,"module_state, state desc, sequence, name",base,"{""en_US"": ""Payment Provider""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
45,,,ir.qweb.field.date,id,base,"{""en_US"": ""Qweb Field Date""}"," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    ",f,,,f,f,f,,,,
553,,,payment.token,"partner_id, id desc",base,"{""en_US"": ""Payment Token""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
554,,,payment.transaction,id desc,base,"{""en_US"": ""Payment Transaction""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
555,,,payment.capture.wizard,id,base,"{""en_US"": ""Payment Capture Wizard""}"," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    ",t,,,f,f,f,,,,
557,,,payment.provider.onboarding.wizard,id,base,"{""en_US"": ""Payment provider onboarding wizard""}"," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    ",t,,,f,f,f,,,,
556,,,payment.link.wizard,id,base,"{""en_US"": ""Generate Sales Payment Link""}"," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    ",t,,,f,f,f,,,,
660,,,slide.channel.partner,id,base,"{""en_US"": ""Channel / Partners (Members)""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
661,,,slide.channel,"sequence, id",base,"{""en_US"": ""Course""}", A channel is a container of slides. ,f,,,t,t,f,,,,
662,,,slide.channel.tag.group,sequence asc,base,"{""en_US"": ""Channel/Course Groups""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
663,,,slide.channel.tag,"group_sequence asc, sequence asc",base,"{""en_US"": ""Channel/Course Tag""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
664,,,slide.slide.resource,id,base,"{""en_US"": ""Additional resource for a particular slide""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
665,,,slide.channel.invite,id,base,"{""en_US"": ""Channel Invitation Wizard""}"," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    ",t,,,f,f,f,,,,
549,,,event.type.ticket,"sequence, price, name, id",base,"{""en_US"": ""Event Template Ticket""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
550,,,event.event.ticket,"event_id, sequence, price, name, id",base,"{""en_US"": ""Event Ticket""}"," Ticket model allowing to have different kind of registrations for a given
    event. Ticket are based on ticket type as they share some common fields
    and behavior. Those models come from <= v13 Odoo event.event.ticket that
    modeled both concept: tickets for event templates, and tickets for events. ",f,,,f,f,f,,,,
668,,,event.sale.report,id,base,"{""en_US"": ""Event Sales Report""}","Event Registrations-based sales report, allowing to analyze sales and number of seats
    by event (type), ticket, etc. Each opened record will also give access to all this information.",f,,,f,f,f,,,,
669,,,registration.editor,id,base,"{""en_US"": ""Edit Attendee Details on Sales Confirmation""}"," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    ",t,,,f,f,f,,,,
670,,,registration.editor.line,id desc,base,"{""en_US"": ""Edit Attendee Line on Sales Confirmation""}",Event Registration,t,,,f,f,f,,,,
671,,,event.event.configurator,id,base,"{""en_US"": ""Event Configurator""}"," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    ",t,,,f,f,f,,,,
672,,,product.image,"sequence, id",base,"{""en_US"": ""Product Image""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
673,,,product.public.category,"sequence, name, id",base,"{""en_US"": ""Website Product Category""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
674,,,product.ribbon,id,base,"{""en_US"": ""Product ribbon""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
514,,,product.template,"priority desc, name",base,"{""en_US"": ""Product""}",This mixin adds rating statistics to mail.thread that already support ratings.,f,,,t,t,f,,,,
676,,,website.sale.extra.field,sequence,base,"{""en_US"": ""E-Commerce Extra Info Shown on product page""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
558,,,sequence.mixin,id,base,"{""en_US"": ""Automatic sequence""}","Mechanism used to have an editable sequence number.

    Be careful of how you use this regarding the prefixes. More info in the
    docstring of _get_last_sequence.
    ",f,,,f,f,f,,,,
559,,,account.fiscal.position,sequence,base,"{""en_US"": ""Fiscal Position""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
560,,,account.fiscal.position.tax,id,base,"{""en_US"": ""Tax Mapping of Fiscal Position""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
561,,,account.fiscal.position.account,id,base,"{""en_US"": ""Accounts Mapping of Fiscal Position""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
88,,,res.partner.bank,"sequence, id",base,"{""en_US"": ""Bank Accounts""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,t,f,,,,
563,,,account.account.tag,id,base,"{""en_US"": ""Account Tag""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
564,,,account.account,"code, company_id",base,"{""en_US"": ""Account""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,f,f,,,,
565,,,account.group,code_prefix_start,base,"{""en_US"": ""Account Group""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
566,,,account.root,id,base,"{""en_US"": ""Account codes first 2 digits""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
567,,,account.journal.group,id,base,"{""en_US"": ""Account Journal Group""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
568,,,account.journal,"sequence, type, code",base,"{""en_US"": ""Journal""}",Populate factory part for account.journal.,f,,,t,t,f,,,,
569,,,account.tax.group,"sequence asc, id",base,"{""en_US"": ""Tax Group""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
570,,,account.tax,"sequence,id",base,"{""en_US"": ""Tax""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,f,f,,,,
571,,,account.tax.repartition.line,"document_type, repartition_type, sequence, id",base,"{""en_US"": ""Tax Repartition Line""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
572,,,account.reconcile.model.partner.mapping,id,base,"{""en_US"": ""Partner mapping for reconciliation models""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
573,,,account.reconcile.model.line,"sequence, id",base,"{""en_US"": ""Rules for the reconciliation model""}",Populate factory part for account.reconcile.model.line.,f,,,f,f,f,,,,
574,,,account.reconcile.model,"sequence, id",base,"{""en_US"": ""Preset to create journal entries during a invoices and payments matching""}",Populate factory part for account.reconcile.model.,f,,,t,f,f,,,,
575,,,account.payment.term,"sequence, id",base,"{""en_US"": ""Payment Terms""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
576,,,account.payment.term.line,id,base,"{""en_US"": ""Payment Terms Line""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
577,,,account.move,"date desc, name desc, invoice_date desc, id desc",base,"{""en_US"": ""Journal Entry""}","Populate factory part for account.move.

    Because of the complicated nature of the interraction of account.move and account.move.line,
    both models are actualy generated in the same factory.
    ",f,,,t,t,f,,,,
578,,,account.move.line,"date desc, move_name desc, id",base,"{""en_US"": ""Journal Item""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
579,,,account.partial.reconcile,id,base,"{""en_US"": ""Partial Reconcile""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
580,,,account.full.reconcile,id,base,"{""en_US"": ""Full Reconcile""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
581,,,account.payment,"date desc, name desc",base,"{""en_US"": ""Payments""}",Populate factory part for account.payment.,f,,,t,t,f,,,,
582,,,account.payment.method,id,base,"{""en_US"": ""Payment Methods""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
583,,,account.payment.method.line,"sequence, id",base,"{""en_US"": ""Payment Methods""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
584,,,account.bank.statement,first_line_index desc,base,"{""en_US"": ""Bank Statement""}",Populate factory part for account.bank.statements.,f,,,f,f,f,,,,
585,,,account.bank.statement.line,internal_index desc,base,"{""en_US"": ""Bank Statement Line""}",Populate factory part for account.bank.statements.line.,f,,,f,f,f,,,,
586,,,account.chart.template,id,base,"{""en_US"": ""Account Chart Template""}"," The base model, which is implicitly inherited by all models. ",f,,,f,f,f,,,,
