id,name,category_id,color,create_uid,write_uid,comment,share,create_date,write_date
11,"{""en_US"": ""Public""}",75,,1,1,"{""en_US"": ""Public users have specific access rights (such as record rules and restricted menus).\n                They usually do not belong to the usual Odoo groups.""}",,2024-04-18 07:38:41.908233,2024-04-18 07:47:35.565337
10,"{""en_US"": ""Portal""}",75,,1,1,"{""en_US"": ""Portal members have specific access rights (such as record rules and restricted menus).\n                They usually do not belong to the usual Odoo groups.""}",,2024-04-18 07:38:41.908233,2024-04-18 07:47:35.565337
70,"{""en_US"": ""Manage Reseller(E-Commerce)""}",4,,1,1,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
71,"{""en_US"": ""User""}",94,,1,1,,,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522
72,"{""en_US"": ""Manager""}",94,,1,1,,,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522
73,"{""en_US"": ""User""}",96,,1,1,,,2024-04-18 07:57:33.94017,2024-04-18 07:57:33.94017
74,"{""en_US"": ""Manager""}",96,,1,1,,,2024-04-18 07:57:33.94017,2024-04-18 07:57:33.94017
75,"{""en_US"": ""User""}",98,,1,1,,,2024-04-18 07:57:36.231095,2024-04-18 07:57:36.231095
76,"{""en_US"": ""Manager""}",98,,1,1,,,2024-04-18 07:57:36.231095,2024-04-18 07:57:36.231095
77,"{""en_US"": ""User""}",100,,1,1,,,2024-04-18 07:58:28.826074,2024-04-18 07:58:28.826074
78,"{""en_US"": ""Manager""}",100,,1,1,,,2024-04-18 07:58:28.826074,2024-04-18 07:58:28.826074
79,"{""en_US"": ""User""}",102,,1,1,,,2024-04-18 07:58:30.524114,2024-04-18 07:58:30.524114
80,"{""en_US"": ""Manager""}",102,,1,1,,,2024-04-18 07:58:30.524114,2024-04-18 07:58:30.524114
81,"{""en_US"": ""User""}",104,,1,1,,,2024-04-18 07:58:48.811597,2024-04-18 07:58:48.811597
82,"{""en_US"": ""Manager""}",104,,1,1,,,2024-04-18 07:58:48.811597,2024-04-18 07:58:48.811597
83,"{""en_US"": ""Parent""}",88,,1,1,,,2024-04-18 10:42:36.031591,2024-04-18 10:42:36.031591
84,"{""en_US"": ""Library""}",88,,1,1,,,2024-04-18 10:42:39.074562,2024-04-18 10:42:39.074562
